SQ_CANDIDATO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF;SG_PARTIDO;NM_PARTIDO;DS_SIT_TOT_TURNO;QT_VOTOS_TOTAL;VR_DESPESA_TOTAL;POPULACAO;CUSTO_POR_VOTO;CUSTO_POR_HABITANTE
130001615080;2117;NINA ROSA LÍA ALVES SOBRINHO;ESPAGUETE;MG;PCB;Partido Comunista Brasileiro;NÃO ELEITO;1957;40445.55;20538718;20.66711803781298;0.0019692343991479897
130001615078;2100;JULIA MARIA SIMÃO DA ROCHA;JÚLIA ROCHA;MG;PCB;Partido Comunista Brasileiro;NÃO ELEITO;20629;44775.88;20538718;2.1705308061466866;0.0021800718038974
130001615074;2121;DANIEL CRISTIANO SOUZA;DANIEL CRISTIANO;MG;PCB;Partido Comunista Brasileiro;NÃO ELEITO;2298;25070.0;20538718;10.909486510008703;0.0012206214623522267
130001615072;2113;AMAURY ALONSO BARBOSA;AMAURY ALONSO;MG;PCB;Partido Comunista Brasileiro;NÃO ELEITO;205;19720.0;20538718;96.1951219512195;0.0009601378235973637
130001615077;2111;JOSE AUGUSTO BERNARDES;ZULU;MG;PCB;Partido Comunista Brasileiro;NÃO ELEITO;267;9300.0;20538718;34.831460674157306;0.00045280333465798594
130001615081;2188;THOMÁS AGUIAR CARRIERI;THOMÁS CARRIERI;MG;PCB;Partido Comunista Brasileiro;NÃO ELEITO;278;23240.0;20538718;83.59712230215827;0.0011315214513388811
130001615075;2199;FLAVIANO DUELI DE SOUZA;FLAVIANO DUELI;MG;PCB;Partido Comunista Brasileiro;NÃO ELEITO;1275;20621.8;20538718;16.173960784313724;0.0010040451405000058
130001615079;2135;LÍVIA OLIVEIRA VASCONCELOS;LÍVIA FLOR;MG;PCB;Partido Comunista Brasileiro;NÃO ELEITO;856;39220.0;20538718;45.8177570093458;0.0019095641704608827
130001615076;2122;IAGO MARTINS CHAVES;IAGO CHAVES;MG;PCB;Partido Comunista Brasileiro;NÃO ELEITO;391;25320.0;20538718;64.75703324808184;0.001232793595004323
250001613957;3311;HÉLIO TELES ALVES;HÉLIO TELES;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;196;30000.0;44420459;153.0612244897959;0.0006753644756349772
250001613958;3340;HELOIZA RAVASQ DA SILVA;HELOIZA RAVASQ;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;460;30000.0;44420459;65.21739130434783;0.0006753644756349772
130001612799;2813;JOSE CARLOS FERRAZ DOS SANTOS;FERRAZ;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;133;0.0;20538718;0.0;0.0
130001671991;2832;KLAIVER JUNKER JARDIM;KLAIVER JUNKER;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;159;0.0;20538718;0.0;0.0
130001612800;2882;JOSMAR MOREIRA BARBOSA;JOSMAR DO ARTESANATO;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;488;1737.5;20538718;3.560450819672131;8.459632193206995e-05
130001612801;2820;MARIANA SOARES ALVES;MARY ALVES;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;69;0.0;20538718;0.0;0.0
130001612811;2815;IVANI TEODORO ALVES DOS SANTOS;TIA IVANI DO MARMITEX;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;121;1500.0;20538718;12.396694214876034;7.303279591257839e-05
130001612804;2823;ALMIR MEDINA DOS SANTOS;MEDINA;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;617;4000.0;20538718;6.482982171799027;0.00019475412243354233
130001727534;2801;MARIA DOS REIS SANTOS;MARIA DOS REIS;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;70;2500.0;20538718;35.714285714285715;0.00012172132652096396
130001612814;2810;JEFFERSON CRISTOVÃO DA SILVA;SUBTENENTE CRISTOVÃO;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;111;135.70999999999998;20538718;1.2226126126126124;6.607520488864007e-06
130001612792;2864;SEBASTIÃO HEMENEGILDO DOS SANTOS;SEBASTIÃO EMENEGILDO;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;100;0.0;20538718;0.0;0.0
130001610883;1407;FERNANDA CAROLINE LOPES;FERNANDA DO SALÃO;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;87;40000.0;20538718;459.7701149425287;0.0019475412243354234
130001610888;1445;LUCIANA MIRANDA BRITO ALEIXO;TIA LULUZINHA;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;377;45000.0;20538718;119.36339522546419;0.0021909838773773514
130001610889;1461;LUCIO CAMPOS SILVA;INSPETOR LÚCIO CAMPOS;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;613;52000.0;20538718;84.82871125611746;0.0025318035916360505
130001610890;1463;MAGALHÃES RAMOS MACHADO;MAGALHAES RAMOS;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;25;10000.0;20538718;400.0;0.00048688530608385585
130001610892;1499;MÁRCIO EMÍDIO MARANGON;MÁRCIO MARANGON;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;366;25050.0;20538718;68.44262295081967;0.001219647691740059
130001610893;1434;MARCO HENRIQUE GOMES PIRAJA;MARCO PIRAJÁ;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;128;15130.0;20538718;118.203125;0.0007366574681048739
130001610894;1473;MARIA APARECIDA DE OLIVEIRA SILVA;CIDA MANICURE;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;106;40000.0;20538718;377.35849056603774;0.0019475412243354234
130001610895;1457;WILSON ISSÃO KORESSAWA;DR WILSON KORESSAWA;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;354;11500.0;20538718;32.48587570621469;0.0005599181019964343
130001610897;1404;ADRIANA MARIA MOREIRA BORGES;ADRIANA BORGES;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;985;239463.0;20538718;243.10964467005076;0.011659101605075838
130001610898;1497;GRAZIANI ANTONELLI BORTONE DE CARVALHO;MACARRÃO;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;126;15000.0;20538718;119.04761904761905;0.0007303279591257838
130001610899;1444;BRAULIO JOSE TANUS BRAZ;BRAULIO BRAZ;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;68665;3077372.13;20538718;44.817186776378065;0.14983272714489773
130001610902;1432;IRINEU DOS ANJOS ROCHA;IRINEU ROCHA;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;409;20000.0;20538718;48.899755501222494;0.0009737706121677117
130001610904;1422;JANICIA RIBEIRO SILVA;PASTORA JANE SILVA;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;3421;1450858.2;20538718;424.10353697749196;0.07064015387912721
130001610906;1467;JOANA VERÔNICA NOGUEIRA SANTOS;VERA DA FEIRINHA;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;216;39272.0;20538718;181.8148148148148;0.0019120959740525187
130001610907;1412;JOSÉ MARIA AMORIM DA SILVA;JOSÉ MARIA DE NOVA CONTAGEM;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;1210;15000.0;20538718;12.396694214876034;0.0007303279591257838
130001610910;1428;CIBELE MACHADO;CIBELE MACHADO;MG;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;1180;16079.65;20538718;13.626822033898305;0.0007828945311971273
250001620732;5110;MARCOS JULIANO FERREIRA;JULIANO DA CAMPESTRE;SP;PATRIOTA;Patriota;NÃO ELEITO;21908;249844.81;44420459;11.404272868358591;0.005624543636525683
250001620733;5131;TIAGO DOS SANTOS LIRA;PROFESSOR TIAGO LIRA;SP;PATRIOTA;Patriota;NÃO ELEITO;1231;62267.51;44420459;50.58286758732738;0.0014017754746748566
250001620736;5150;JOSÉ EDINALDO DE OLIVEIRA;ROCHINHA;SP;PATRIOTA;Patriota;NÃO ELEITO;1209;113607.58;44420459;93.96822167080232;0.002557550789828624
250001620751;5117;RONALDO PEREIRA COSTA;RONALDO MOSCOU;SP;PATRIOTA;Patriota;NÃO ELEITO;120;0.0;44420459;0.0;0.0
250001620757;5176;ELISANGELA JOVANA DOS SANTOS;ELISÂNGELA SANTOS PROTETORA;SP;PATRIOTA;Patriota;NÃO ELEITO;546;39932.0;44420459;73.13553113553114;0.0008989551413685302
250001620761;5122;VITOR LEONARDO SANTOS VARCILIO;MAJOR VITOR SANTOS;SP;PATRIOTA;Patriota;NÃO ELEITO;8518;132430.45;44420459;15.547129607889177;0.002981294047411802
250001677870;9047;JAELSON DA CONCEIÇÃO SERRA;JOELSON;SP;PROS;Partido Republicano da Ordem Social;NÃO ELEITO;144;0.0;44420459;0.0;0.0
250001677871;9049;JEFFERSON RIPI DA SILVA;PROFESSOR JEFFERSON RIPI;SP;PROS;Partido Republicano da Ordem Social;NÃO ELEITO;192;0.0;44420459;0.0;0.0
250001677872;9067;JOSE RIBEIRO DE MELO;PASTOR JOSÉ RIBEIRO;SP;PROS;Partido Republicano da Ordem Social;NÃO ELEITO;109;19928.9;44420459;182.83394495412844;0.00044864236994939655
250001677875;9008;MARIA RACHEL OLIVEIRA BONFIM;PROFESSORA RACHEL;SP;PROS;Partido Republicano da Ordem Social;NÃO ELEITO;65;24961.0;44420459;384.0153846153846;0.0005619257558774888
250001677876;9003;MARTA CRISTINA LUCHI DE LIMA;MARTA LIMA;SP;PROS;Partido Republicano da Ordem Social;NÃO ELEITO;18;0.0;44420459;0.0;0.0
250001677877;9005;MARTHA VANIA LOPES IWASAKI;MARTHA ISHIDA;SP;PROS;Partido Republicano da Ordem Social;NÃO ELEITO;52;0.0;44420459;0.0;0.0
250001717157;3679;VERA LÚCIA SANTOS DE FRANÇA;VERA FRANÇA;SP;AGIR;AGIR;NÃO ELEITO;100;0.0;44420459;0.0;0.0
160001614496;1423;SONIA SILVA DE OLIVEIRA;SÔNYA CARNEIRO;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;229;10000.0;11443208;43.66812227074236;0.0008738808208327595
160001614493;1410;RAMIRO LEITE;RAMIRO LEITE;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;673;35000.0;11443208;52.00594353640416;0.0030585828729146583
